Name,Website,Trust Center,Platform,Description
"Chainalysis","chainalysis.com","https://trust.chainalysis.com","vantatrust.com","Chainalysis helps government agencies, cryptocurrency businesses, and financial institutions engage confidently with cryptocurrency."
"SalesLoft","salesloft.com","https://trust.salesloft.com","vantatrust.com","Salesloft helps thousands of the world's most successful selling teams drive more revenue with the Modern Revenue Workspace(tm)."
"Degreed","degreed.com","https://trust.degreed.com","vantatrust.com","Degreed is the upskilling platform that connects learning, talent development and internal mobility opportunities in one place."
"Novo","novo.co","https://trust.novo.co","vantatrust.com","Novo is a fintech that offers a banking platform to meet the needs of small businesses for free business checking and faster money movement."
"Sendbird","sendbird.com","https://trust.sendbird.com","vantatrust.com","SendBird is the world's no.1 chat API for mobile apps and websites."
"Bluecore","bluecore.com","https://trust.bluecore.com","vantatrust.com","Relevant trigger emails for Ecommerce"
"Kadence","kadence.co","https://trust.kadence.co","vantatrust.com","SaaS, B2B SaaS, Future of Work"
"Gorgias","gorgias.com","https://trust.gorgias.com","vantatrust.com","Manage all your customer support in one place with Gorgias."
"Quantive","quantive.com","https://trust.quantive.com","vantatrust.com","Gtmhub helps companies undergoing high growth or managing significant change to adopt and manage Objectives and Key Results (OKRs), supported by real-time KPIs."
"Preply","preply.com","https://trust.preply.com","Vanta","a fast growing marketplace for tutoring"
"Tive","tive.com","https://trust.tive.com","vantatrust.com","Sensor driven supply chain optimization."
"LogicGate","logicgate.com","https://trust.logicgate.com","vantatrust.com","Empowering businesses to transform disorganized risk and compliance processes into enterprise-grade applications, without writing a single line of code."
"BentoBox","getbento.com","https://trust.getbento.com","vantatrust.com","Offering restaurants a platform to manage mobile-first websites, marketing and operations - BentoBox puts restaurants online."
"Trust & Will","trustandwill.com","https://trust.trustandwill.com","vantatrust.com","The easy, fast, and secure way to set up your estate plan online"
"DNSFilter","dnsfilter.com","https://trust.dnsfilter.com","vantatrust.com","DNSFilter provides industry-leading DNS threat protection and content filtering."
"Own Up","ownup.com","https://trust.ownup.com","vantatrust.com","Own Up is a technology company that exists to make sure every American gets a fair deal on their mortgage."
"Vitally","vitally.io","https://trust.vitally.io","vantatrust.com","From subscription analytics to customer success, Vitally provides B2B SaaS companies with a platform to convert trials, measure & grow MRR, and reduce churn."
"Healthie","gethealthie.com","https://trust.gethealthie.com","vantatrust.com","Healthie is a web and mobile platform for dietitians and nutritionists to manage their practice."
"DataCamp","datacamp.com","https://trust.datacamp.com","vantatrust.com","Learn data analysis, interactively"
"Placester","placester.com","https://trust.placester.com","vantatrust.com","The simple, all-in-one digital marketing platform  for real estate professionals."
"Twelve Labs","twelvelabs.io","https://trust.twelvelabs.io","vantatrust.com","CTRL + F for contexts within videos."
"Stream","getstream.io","https://trust.getstream.io","vantatrust.com","API for building activity feeds and chat"
"Testlio","testlio.com","https://trust.testlio.com","vantatrust.com","Testlio is an expert community of verified mobile testers with a platform that seamlessly integrates into your team's development process."
"Help Scout","helpscout.com","https://trust.helpscout.com","vantatrust.com","Help Scout makes customer support tools that keep customers happy as you grow."
"telnyx","telnyx.com","https://trust.telnyx.com","vantatrust.com","Telnyx provides developers access to real-time voice and SMS capabilities via communication API."
"Kard","getkard.com","https://trust.getkard.com","vantatrust.com","Kard is a two-sided loyalty program that helps consumers earn more rewards while helping card issuers offset their loyalty costs."
"Jebbit","jebbit.com","https://trust.jebbit.com","vantatrust.com","Jebbit is a no-code platform that lets you design and launch engaging quizzes and product recommendations without IT or engineering support."
"PathSpot","pathspot.com","https://trust.pathspot.com","vantatrust.com","PathSpot scans employee's hands to detect pathogens that cause food borne illness - all in under 2 seconds."
"Mavrck","mavrck.co","https://trust.mavrck.co","vantatrust.com","We empower premier brands to rise above the noise through marketing people trust."
"Taizen","usetaizen.com","https://trust.usetaizen.com","vantatrust.com","LogSpend is a software company that provides End-to-end LLMOps platform for performance evaluation."
"LearnPlatform","learnplatform.com","https://trust.learnplatform.com","vantatrust.com","The Complete EdTech Management Platform"
"Kintsugi","kintsugihealth.com","https://trust.kintsugihealth.com","vantatrust.com","Kintsugi detects signs of clinical depression and anxiety using machine learning and voice biomarkers."
"Milk Moovement","milkmoovement.com","https://trust.milkmoovement.com","vantatrust.com","Milk Moovement is transforming the traditional dairy supply chain by bringing all stakeholders onto its collaborative, cloud-based software."
"Cledara","cledara.com","https://trust.cledara.com","vantatrust.com","Purchasing and analytics platform for startups"
"TiLT","hellotilt.com","https://trust.hellotilt.com","vantatrust.com","TiLT is reimagining Leave Management."
"Player's Health","playershealth.com","https://trust.playershealth.com","vantatrust.com","Player's Health is an insurance agency that protects athletes and sports organizations with a unique risk management platform."
"Branching Minds","branchingminds.com","https://trust.branchingminds.com","vantatrust.com","path for every learner"
"Wagmo","wagmo.io","https://trust.wagmo.io","vantatrust.com","Wagmo is a doggy wellness plan."
"Skilljar","skilljar.com","https://trust.skilljar.com","vantatrust.com","Customer training made simple"
"Allstacks","allstacks.com","https://trust.allstacks.com","vantatrust.com","Allstacks quantifies productivity of your software engineering, delivering engineering managers visibility into team performance."
"Pana","pana.com","https://trust.pana.com","vantatrust.com","Your new personal travel assistant"
"Azuqua","azuqua.com","https://trust.azuqua.com","vantatrust.com","Transformative web automation platform"
"Qovery","qovery.com","https://trust.qovery.com","vantatrust.com","Qovery is the first Container as a Service (CaaS) platform that allows anyone to develop and deploy an application in just a few minutes."
"Hireguide","hireguide.com","https://trust.hireguide.com","vantatrust.com","Plan and transcribe structured interviews with ease so you can hire the right person faster, fairer, and with certainty."
"AltScore","altscore.ai","https://trust.altscore.ai","vantatrust.com","AltScore increases the access to loans for small and medium business in Latin America"
"Keen IO","keen.io","https://trust.keen.io","vantatrust.com","Event Data Analytics API"
"10% Happier: Meditation for Fidgety Skeptics","10percenthappier.com","https://trust.10percenthappier.com","vantatrust.com","Mobile course platform for behavior change, powered by the advice of world-class experts."
"TrueCoach","truecoach.co","https://trust.truecoach.co","vantatrust.com","TrueCoach is a SaaS platform that helps professional coaches, personal trainers, and gym owners design, deliver, track personalized coaching programs."
"Treet","treet.co","https://trust.treet.co","Vanta","Treet helps fashion brands own their secondhand market. Live with three brands with a 45% sell-through rate."
"HData","hdata.us","https://trust.hdata.us","vantatrust.com","Delivering Smarter Compliance for the Energy Sector and Beyond"
"Revolv","revolv.com","https://trust.revolv.com","safebase.io","Unifying platform for the smart home"
"QuanTemplate","quantemplate.com","https://trust.quantemplate.com","vantatrust.com","Taking the insurance industry online"
"Insent.ai","insent.ai","https://trust.insent.ai","vantatrust.com","Engage early, converse real-time, and close more"
"Aware Health","awarehealth.io","https://trust.awarehealth.io","vantatrust.com","Aware Health diagnoses/treats joint pain without imaging or surgery."
"Credentially","credentially.io","https://trust.credentially.io","vantatrust.com","HR software for healthcare organizations."
"Obsess","obsessvr.com","https://trust.obsessvr.com","Vanta","Platform for Experiential E-commerce"
"Deep 6 AI","deep6.ai","https://trust.deep6.ai","vantatrust.com","Deep 6 AI applies artificial intelligence and natural language processing to medical records to find more patients for clinical trials exponentially faster."
"RentCheck","getrentcheck.com","https://trust.getrentcheck.com","vantatrust.com","RentCheck is a mobile app that standardizes move-in and move-out inspections to bring transparency to the rental process."
"SkenarioLabs","skenariolabs.com","https://trust.skenariolabs.com","vantatrust.com","We predict the value and risks in properties using data and AI. On both residential and commercial real-estate."
"Halp","halp.com","https://trust.halp.com","vantatrust.com","Halp is a conversational ticketing solution for IT teams to assign, prioritize, and answer requests from Slack in a message-based interface."
"Howler","howler.co.za","https://trust.howler.co.za","vantatrust.com","Howler is an end to end events platform, with cashless and ticketing tools for event organisers and consumers."
"Focal Point Procurement Solutions","getfocalpoint.com","https://trust.getfocalpoint.com","vantatrust.com","Streamlining enterprise procurement by utilizing best in class processes enabled by workflow automation."
"DocStation","docstation.co","https://trust.docstation.co","vantatrust.com","DocStation is a clinical platform (EHR) for pharmacists."
"Sprout Wellness Solutions","sproutatwork.com","https://trust.sproutatwork.com","vantatrust.com","Take Corporate Wellness to the next level"
"Abe AI","abe.ai","https://trust.abe.ai","vantatrust.com","Abe's conversational AI platform, Conversate, allows banks to communicate and engage customers through message and voice platforms."
"HackMD","hackmd.io","https://trust.hackmd.io","vantatrust.com","HackMD helps developers write better documents and build active communities with open collaboration."
"Liquid","goliquid.io","https://trust.goliquid.io","vantatrust.com","On a mission to power1M agile SMBs with a global freelancer and vendor payments platform that automates and standardizes key tasks, enforces financial controls and ensures tax and legal compliance."
"Neu","neucleans.com","https://trust.neucleans.com","vantatrust.com","neu is a reliable platform that provides quality cleans, on-demand."
"Ambassador","getambassador.com","https://trust.getambassador.com","vantatrust.com","Referral, Partner and Affiliate Tracking and Management."
"Retrocausal","retrocausal.ai","https://trust.retrocausal.ai","vantatrust.com","Visual Mistake-Proofing for Manual Assembly"
"Nixtla","nixtla.io","https://trust.nixtla.io","vantatrust.com","State of the Art Forecasting Software."
"Serve First","servefirst.co.uk","https://trust.servefirst.co.uk","vantatrust.com","Serve First provides customer feedback surveys and staff engagement platforms."
"Clearstep","clearstep.health","https://trust.clearstep.health","Vanta","AI symptom checking + care routing + price transparency + scheduling = digital front door for healthcare"
"Aiva","aiva.ai","https://trust.aiva.ai","vantatrust.com","Aiva is the voice-powered OS for patient-centered healthcare."
"Bevz","bevz.com","https://trust.bevz.com","vantatrust.com","Convenience store technology and services platform"
"backstitch","backstitch.io","https://trust.backstitch.io","vantatrust.com","Hubspot for HR"
"LendAPI","lendapi.com","https://trust.lendapi.com","vantatrust.com","Supercharge Digital Onboarding. Helping Banks and Fintech to launch products in seconds."
"Qualifi","qualifi.hr","https://trust.qualifi.hr","vantatrust.com","Qualifi empowers the fastest phone interviews in the world! We've helped small teams up to Fortune 500 companies complete 1000s of interviews with Qualifi."
"SATIM","satim.pl","https://trust.satim.pl","vantatrust.com","Providing satellite radar-based intelligence for decision makers."
"altvia","altvia.com","https://trust.altvia.com","vantatrust.com","Solutions for alternative asset managers"
"Lingco Language Labs","lingco.io","https://trust.lingco.io","Vanta","Lingco Classroom is an adaptive language learning platform designed for the classroom that delivers personalized learning at scale"
"Kilsar","kilsar.com","https://trust.kilsar.com","vantatrust.com","Kilsar provides a suite of software and hardware solutions that enable real-time intelligence, multi-channel communication, augmented reality (AR), and digital tooling capabilities for teams and workforces."
"Anam.ai","anam.ai","https://trust.anam.ai","Vanta","Digital humans you can converse with in real time."
"Voyc","voyc.ai","https://trust.voyc.ai","vantatrust.com","AI software to monitor & improve call centre quality assurance & agent performance."
"TVbeat","tvbeat.com","https://trust.tvbeat.com","vantatrust.com","Google Analytics for IPTV"
"EveryMove","everymove.org","https://trust.everymove.org","vantatrust.com","Make every healthy move count"
"Sensefinity","sensefinity.com","https://trust.sensefinity.com","vantatrust.com","Everything Connects"
"Novel Effect","noveleffect.com","https://trust.noveleffect.com","vantatrust.com","Seattle-based Novel Effect is the leader in voice-driven media and entertainment across books, video, toys and games."
"Paid","paid.co.uk","https://trust.paid.co.uk","vantatrust.com","Paid's platform allows micro businesses and freelancers to get paid on time through its invoice financing at scale for low value invoices."
"PortF","portf.io","https://trust.portf.io","vantatrust.com","PortF is a platform serves investors, debt providers, and SMEs."
"Eventnoire","eventnoire.com","https://trust.eventnoire.com","vantatrust.com","Eventnoire is the digital gateway to Black culture-centric events"
"Ground AI","joinground.com","https://trust.joinground.com","vantatrust.com","Ground is an AI-powered engine for go-to-market teams, unlocking hidden revenue and driving effortless incremental sales."
"Shelby.tv","shelby.tv","https://trust.shelby.tv","vantatrust.com","Amazing web video discovery"
"Linker Finance","linkerfinance.com","https://trust.linkerfinance.com","vantatrust.com","Linker Finance is a cost-effective turnkey solution and low-code platform that enables brands to launch their custom FinTech app in weeks."
"Cabinet","joincabinet.com","https://trust.joincabinet.com","vantatrust.com","Cabinet is the hub where executive assistants can access, share and discover insider information they can't find anywhere else."
"YData","ydata.ai","https://trust.ydata.ai","vantatrust.com","Improved and synthetic data for AI"
"Invendor","invendor.com","https://trust.invendor.com","vantatrust.com","Self-checkout sites for industrial distributors to sell spare parts and consumables at manufacturing locations"
"Employee Cycle","employeecycle.com","https://trust.employeecycle.com","safebase.io","Employee Cycle automates the HR reporting and analytics process by transforming disconnected employee data from multiple HR systems into one centralized, real-time, actionable and shareable HR dashboard."
"Cloverleaf AI","cloverleaf.ai","https://trust.cloverleaf.ai","vantatrust.com","Cloverleaf AI delivers actionable insights from government meetings, empowering our customers to make the right decisions faster and cheaper."
"Reelist","reelist.com","https://trust.reelist.com","vantatrust.com","Reelist replaces written job descriptions with engaging video job posts on the social media platforms where job seekers already are, making hiring cheaper and quicker."
"Parlay Finance","parlay.finance","https://trust.parlay.finance","vantatrust.com","For community banks and credit unions struggling to qualify and convert small business loan customers, Parlay provides a white-label product that helps borrowers seamlessly and efficiently meet their loan approval requirements."
"Benny","heybenny.com","https://trust.heybenny.com","vantatrust.com","Benny provides financing to employees of publicly traded companies so they can participate in their employee stock purchase plans (ESPPs)."
"Getro","getro.com","https://trust.getro.com","vantatrust.com","Getro makes hiring easier by connecting employers to referred professionals in their network."
"Wiseair","wiseair.vision","https://trust.wiseair.vision","vantatrust.com","At Wiseair, we are enabling data-driven policy-making for sustainable cities and communities. Our product today is a solution to tackle air pollution in cities."
"SideTour","sidetour.com","https://trust.sidetour.com","vantatrust.com","Marketplace for unique experiences"
"Nossa Data","nossadata.com","https://trust.nossadata.com","vantatrust.com","Empowering companies to manage and plan their Environmental, Social, and Governance (ESG) needs."
"Replace","replacefund.com","https://trust.replacefund.com","vantatrust.com","Services for Renewable Energy"
"SpotRight","spotright.com","https://trust.spotright.com","vantatrust.com","Topical social influence API"
"MyFavorito","myfavorito.com","https://trust.myfavorito.com","vantatrust.com","MyFavorito helps the ""Fortune 5 million"" sports clubs around the world to make more money and attract more sponsors."
"OB2 AI","ob2.ai","https://trust.ob2.ai","vantatrust.com","OB2.AI, founded by former Cisco FedRAMP security engineers, provides OpsBeacon XSIAM, an extended security intelligence and automation management platform that gives businesses clear visibility and control over their IT infrastructure. Using AI and automation, it quickly analyzes large amounts of data from servers, devices, and networks and responds to cyber threats in seconds."
"LiteStack","zerovm.org","https://trust.zerovm.org","vantatrust.com","The first hypervisor designed specifically for the cloud"
"CodeGPT by Judini","codegpt.co","https://trust.codegpt.co","Vanta","Making AI even simpler for software engineers through a plug-and-play solution, lowering barriers and removing obstacles in the development process."
"Open to the offer","opentotheoffer.com","https://trust.opentotheoffer.com","vantatrust.com","For homeowners looking to collect offers on their home without any expense or commitment, OTTO hosts a self-service marketplace to get real offers from qualified buyers online."
"Rocket Innovations","getrocketbook.com","https://trust.getrocketbook.com","Vanta","Notebooks from the future"
"Appsembler","appsembler.com","https://trust.appsembler.com","vantatrust.com","Appsembler is the leading hosted platform for online corporate training and professional development"
"Card Isle","cardisle.com","https://trust.cardisle.com","vantatrust.com","Send meaningful greeting cards"
"Zendoc","zendoc.com","https://trust.zendoc.com","vantatrust.com","ZENDOC makes contract management easy for business users. One minute to Sign-Up. Five minutes to ""Wow!"""
"Sameroom","sameroom.io","https://trust.sameroom.io","vantatrust.com","IM interoperability as-a-service"
"GoSave","gosavehq.com","https://trust.gosavehq.com","vantatrust.com","GoSave: next generation piggy banks. We build digital piggy banks that make saving and chores fun."
"ConvertFlow","convertflow.com","https://trust.convertflow.com","vantatrust.com","Build funnels like a pro for any site"
"Appetas","appetas.com","https://trust.appetas.com","vantatrust.com","Make restaurant websites beautiful"
"Ovida","ovida.io","https://trust.ovida.io","vantatrust.com","Ovida is an AI-driven communication skills platform that helps people master critical workplace conversations through personalized feedback and skill development. By combining advanced AI analysis with expert-designed learning journeys, we enable organizations to develop their people's communication and leadership capabilities at scale - focusing on the human interactions that will remain essential in the AI era, while delivering results at a fraction of traditional training cost and time."
"Played","played.co","https://trust.played.co","vantatrust.com","Played is a book and pay solution for participation sports providers that can plug into any website.

To view the company one-page summary click here - https://app.buildmemo.com/s/icby~q"
"Shop Latinx","shoplatinx.com","https://trust.shoplatinx.com","vantatrust.com","Shop Latinx is the leading fashion and beauty lifestyle marketplace with products designed by and for the Latinx community"
"RoundPegg","roundpegg.com","https://trust.roundpegg.com","vantatrust.com","RoundPegg is the only software that quantifies your Company Culture so you make smarter 'people' decisions. Understand your unique culture, make hires who are a great fit, give managers coaching guides for each of their reports & measure engagement."
"GetEquity","getequity.io","https://trust.getequity.io","vantatrust.com","Providing RWA tokenization to traditional asset management"
"Fasten Health","fastenhealth.com","https://trust.fastenhealth.com","vantatrust.com","Interoperability platform that allows patients to share medical records with organizations they trust."
"Butterflye","butterflye.io","https://trust.butterflye.io","vantatrust.com","Butterflye enables product teams to boost user engagement while gathering feedback through innovative communication channels, driving customer success and user retention without the need for complex tools."
"Trissino","hiresteve.ai","https://trust.hiresteve.ai","vantatrust.com",""
"Novalia","novalia.co.uk","https://trust.novalia.co.uk","vantatrust.com","Our prototyping tools, production processes, materials and software make creating interactive, connected, and touch based hardware easy."
"Asanify","asanify.com","https://trust.asanify.com","vantatrust.com","Asanify simplifies HR and automates payroll compliances for small business owners in India and APAC with HR on chatbots such as Slack and Whatsapp."
"Dollarize","dollarize.me","https://trust.dollarize.me","whistic.com","Dollarize allows non-US nationals to open an FDIC-insured US bank account and deposit and withdraw cash within minutes."
"Virtual Sapiens","virtualsapiens.co","https://trust.virtualsapiens.co","Vanta","Virtual Sapiens leverages AI and behavioral science to provide insights on nonverbal communication cues on video."
"Nimblemind.ai","nimblemind.ai","https://trust.nimblemind.ai","vantatrust.com","SaaS platform for healthcare data enrichment."
"BodyPro","mybodypro.fit","https://trust.mybodypro.fit","vantatrust.com","At BodyPro we are an AI-athletic performance platform, helping sports clubs optimize performance & scale the athlete-to-personal coach experience"
"Sentiment Search","sentimentsearch.com","https://trust.sentimentsearch.com","vantatrust.com","Social media insights specialised for restaurants."
"Our Leg Up","ourlegup.com","https://trust.ourlegup.com","vantatrust.com","Put your home equity to work and generate an additional income without any cash outlay."
"Data for Good","data-for-good.com","https://trust.data-for-good.com","vantatrust.com","Organizing the world's verified impact data and make it globally accessible and understandable for everyone to enable data-driven decision making"
"Additor","additor.io","https://trust.additor.io","vantatrust.com","Additor is the new standard of docs for modern collaborators. It's the living knowledge library to organize various formats of content and share ideas."
"Neomare","neomare.no","https://trust.neomare.no","vantatrust.com","Neomare is a developer of environmental technology platform providing seismic imaging using a containerized modular survey platform."
"Spiral Technology","spiral.technology","https://trust.spiral.technology","vantatrust.com","Machine intelligence for the industrial workforce."
"Careerflow","careerflow.ai","https://trust.careerflow.ai","vantatrust.com","Utilizes AI to help customers land their dream jobs."
"Lazarus","lazarusai.com","https://trust.lazarusai.com","vantatrust.com","Lazarus uses historical patient data and deep learning to help predict the early onset of cancer, improving physician outcomes."
"Halsted AI","halstedhealth.ai","https://trust.halstedhealth.ai","vantatrust.com","Halsted AI helps medical liability insurers and health systems reduce malpractice risk and improve surgical performance by providing an AI-powered platform that analyzes surgical videos and delivers targeted feedback to minimize errors and claims."
"Applied Particle Technology","appliedparticletechnology.com","https://trust.appliedparticletechnology.com","vantatrust.com","Automated environmental health & safety for mining and metals manufacturing using real-time data."
"Kitchenery","kitchenery.net","https://trust.kitchenery.net","vantatrust.com","Kitchenery integrates cordless power solutions (transmitter/ receiver) + IoT capabilities into kitchen appliances. Co works with a leading induction cooktop company, has strong interest from RV OEM/Distributors and ha high volume Asian mfg for appliances."
"Votemo","votemo.eu","https://trust.votemo.eu","vantatrust.com","Audience Engagement Tools for Events"
"Valor","valorvision.ai","https://trust.valorvision.ai","vantatrust.com","Providing the most affordable and most portable motion capture technology for teams, academies, researchers, and individuals, Brave is charting a new world of motion capture and all its possibility."
"Talk Howdy","talkhowdy.com","https://trust.talkhowdy.com","vantatrust.com","Talk Howdy makes it simple for anyone to create an engaged online community through peer-led virtual meetups."
"STRE.ME","stre.me","https://trust.stre.me","vantatrust.com","A platform that brings real change to how implicit biases affect the way people think, behave, and work through measurable awareness and accountability."
"eko","eko.investments","https://trust.eko.investments","vantatrust.com","Eko is a technology company that's building a limitless platform for creating and publishing interactive, choice-driven video experiences."
"Affiniti AI","affiniti.ai","https://trust.affiniti.ai","vantatrust.com","At Affiniti, provide Generative Conversational AI models for Wellbeing and Mental Health Services"
"Everlater","everlater.com","https://trust.everlater.com","vantatrust.com","Travel network"
"Digiphy","digiphy.it","https://trust.digiphy.it","vantatrust.com","Digiphy is a SaaS marketing platform that activates physical products and marketing assets, transforming them into an always-on digital marketing channel. We combine page building with connected technology to seamlessly bridge physical and digital."
"AnsuR","ansur.no","https://trust.ansur.no","vantatrust.com","High Precision Mission critical visual communication"
"Krak","skatekrak.com","https://trust.skatekrak.com","vantatrust.com","KRAK is a social and e-commerce platform for rebellious sports"
"Trove","trovefinance.com","https://trust.trovefinance.com","vantatrust.com","Trove is a social investing application for Africans."
"Keepingly","keepingly.co","https://trust.keepingly.co","vantatrust.com","Help homeowners maintain, manage, and grow their largest asset: their home."
"Roborus","roborus.co.kr","https://trust.roborus.co.kr","safebase.io","The smartest, most customer-centric AI company on the planet"
"MeetFox","meetfox.com","https://trust.meetfox.com","vantatrust.com","MeetFox empowers professionals to digitize, manage and monetize interactions with their clients."
"musiqmesh","musiqmesh.com","https://trust.musiqmesh.com","safebase.io","""Musiqmesh is a B2B SaaS product to help music creators create and monetise music using a simpler and more efficient music production supply chain workflow ."
"haulsale","haulsale.com","https://trust.haulsale.com","vantatrust.com","A marketplace to sell your used goods in bulk to professional resellers."
"Curiflow","curiflow.com","https://trust.curiflow.com","vantatrust.com","HIPAA compliant Zapier-like platform for healthcare enterprises"
"Wingspans","wingspans.com","https://trust.wingspans.com","vantatrust.com","Wingspans is a platform that uses storytelling to build a new and diverse workforce."
"Mapt","mapt.co","https://trust.mapt.co","vantatrust.com","For families that don't know how to plan for college and can't afford a consultant, Mapt offers a mobile suite to navigate the college admissions process, build a college list, get feedback from advisors, and follow a clear roadmap with key milestones."
"Kliq","joinkliq.io","https://trust.joinkliq.io","vantatrust.com","A white-label peer-to-peer platform that enables creators to build, manage, and monetize their community"
"Clymb","clymbup.io","https://trust.clymbup.io","safebase.io","Infinite Focus Schools is a socio-emotional learning-focused app."
"Workfrom","workfrom.co","https://trust.workfrom.co","safebase.io","A platform connecting communities of remote workers through the places they love to work from and across organizations."
"Symba","symba.io","https://trust.symba.io","vantatrust.com","Symba is the leading remote internship platform connecting companies with the best talent and helping them manage the entire remote internship experience."
"Pangian","pangian.com","https://trust.pangian.com","vantatrust.com","SaaS Global Talent Network connects remote talent with companies hiring remotely anywhere in the world. Over 100,000 professionals in 200+ countries and territories from companies like Meta, Salesforce, E&Y, and more!"
"Onboardbase","onboardbase.com","https://trust.onboardbase.com","vantatrust.com","For dev teams with secret chao anxiety, Onboardbase makes it easy to work with engineers and infrastructure without worrying about security risk."
"Lukango","lukango.com","https://trust.lukango.com","vantatrust.com","Lukango provides custom insurance for small businesses."
"HeyOpal","heyopal.com","https://trust.heyopal.com","vantatrust.com","We connect the dots in mental healthcare by unifying its landscape around the client. We give clients agency to inform their treatment, and support clinicians to deliver high-quality, scalable care by making communication more effective. We help progress continue between sessions using clinician-driven conversational AI interventions to promote higher engagement, retention, and ultimately better, faster treatment outcomes."
"Eskuad","eskuad.com","https://trust.eskuad.com","vantatrust.com","A mobile-first data platform that empowers field workers, by providing a user-friendly interface and seamless offline operability."
