Name,Website,Trust Center,Platform,Detection Method,Description
"Atrios","https://www.atrios.com","https://www.atrios.com/privacy","Vanta","CNAME","Atrios is building the world’s largest “who knows who” data set for GTM teams.

The Wedge: Warm introductions. Scalable, automated, and incentivized.
 Cash printing machine that wins us data while creating the world's largest decentralized salesforce. (Making hundreds of intros a month right now at an average price of $1,000/intro)


The Data Layer: Over time, Atrios builds the most valuable dataset in B2B: a living graph of relationships, context, and trust signals.


How The Wedge Works:
Companies upload lead lists + bounties they will pay for meetings.
Atrios AI identifies connectors with the right relationships, plus why the intro makes sense.
Connectors earn thousands of dollars by introducing people in their network to companies/products they’ll actually value.


TL;DR: Cold outreach is broken. Warm intros are just the start. 
Atrios is building the relationship data layer that will power the next generation of sales and GTM."
"Bead AI","https://usebead.ai","https://usebead.ai/security","Delve","HTML","Auditors spend endless hours on manual tasks: chasing documents, comparing screenshots, and populating excel sheets. Our AI agent handles grunt work, so auditors focus on judgment and strategy – and the business saves 60% of the cost. 

We’re starting with Sarbanes-Oxley Act compliance – audits that cost $2m+/year in salaries for every US listed company."
"Blank","https://www.theblankapp.com/","https://www.theblankapp.com/privacy","SafeBase","CNAME","AI is the most powerful creative tool ever invented—but using it today is a total nightmare.

Your average user doesn't care which model is being used, what LoRA's are, or have patience to deal with Discord slash commands or complex designs. 

What the last 20 years of social media have taught us is that users want an easy way to create, discover, and share amazing content with friends. 

We’re also quickly learning that the models aren’t the moat. The real value lies in the consumer app that can make AI engaging, social, and accessible to everyone. 

And that’s exactly what we’re here to do. 

Blank makes creating with AI effortless, social, and fun. We package powerful new technologies in a familiar and approachable UI, making AI accessible to anyone."
"Creed","https://www.usecreed.com","https://www.usecreed.com/privacy","Vanta","CNAME","Building an AI companion for the 2.4 billion Christians of the world.

In times of uncertainty we look for guidance in institutions we trust. For some of us that's the media, for others it's randomized control studies, and for 64% of Americans that's the Church.  Creed is building the first AI companion rooted in Christian values that learns about you, grows with you,  and helps you connect with your faith.

We launched 8 weeks ago, and have been doubling nearly every week reaching 60k users + best in class retention and positive unit economics."
"Crema Social","https://www.cremasocial.com","https://www.cremasocial.com/privacy","Vanta","CNAME","Consolidating international gifting/dating marketplace. Our first market entry uses a business model of video call + food delivery for people to virtually get to know each other and enjoy a meal together over live video. Over 1M users have signed up in the past 8 months."
"Exia Labs","https://www.exialabs.com/","https://www.exialabs.com/privacy","SafeBase","CNAME","Exia Labs products include:
-Blue: Copilot for Military Operations
-Recon: Intelligence Preparation of the Operational Environment AI Agent"
"Ezra AI Labs","https://ezraailabs.tech","https://trust.ezraailabs.tech","Vanta","CNAME","Recruiting today is drowning in noise: AI-written resumes, scripted interviews, and candidates openly cheating with ChatGPT. Ezra was built by recruiters, for recruiters, on two years of R&D in Voice AI to restore the signals that matter—nuance, authenticity, and fairness. We help you find the needles in the haystack at scale, so you stop wasting time on noise and start connecting with the right candidates.

See an interview here: https://drive.google.com/file/d/19O3JPaQocTGwEYxZaMiXANQ6fLqi4_R5/view

Try an interview here: https://app.ezraailabs.tech/interviewFromLinkInvitation/63bc2564-d40f-4335-8234-128e1fac3b28"
"Figment","https://figment.games/","https://trust.figment.games","Vanta","CNAME","Figment is a studio and technology company that is pioneering an entirely new media format which couldn’t exist before AI — stories that can adapt in real time to become hyper personalized, interactive, and infinite worlds. 

We are building a comprehensive ecosystem for AI-powered interactive storytelling consisting of both a consumer-facing storytelling platform and professional-grade, AI-powered tooling for visuals + narratives. Our social-first consumer platform becomes a content engine where the best stories can be adapted into increasingly higher fidelity media. Our storytelling tools feel like toys, making storytelling a fun and approachable experience through the power of AI.

Our vision is a complete, vertically integrated flywheel, consisting of content, tools, and distribution.

Founded by veterans from Pixar and Epic Games, our world-class team combines deep expertise in AI and gaming with creative talent."
"FLORA","https://florafauna.ai","https://trust.florafauna.ai","Vanta","CNAME","FLORA is Cursor for creatives: the first agentic creative tool that lets you automate your entire creative workflow. FLORA brings the best text, image, and video AI models onto one infinite canvas, letting you concept faster, generate variations instantly, collaborate in real-time, and share generative workflows with clients. 

FLORA is already used by the best visual design agencies in the world such as Pentagram and Franklyn. We're backed by a16z Games, Menlo Ventures, Long Journey Ventures, and angels from Pika, Midjourney, Stability, and Facebook AI Research Lab."
"Hedra","https://www.hedra.com","https://www.hedra.com/privacy","Vanta","CNAME","Hedra is an AI native platform for multimodal creation. The platform is built around their own cutting-edge proprietary video model, Character-3, which is the first multimodal model in production. Alongside Character-3, the platform also brings other leading foundation models into one ecosystem spanning generative images, video, and audio. Prosumer and enterprise users leverage Hedra to generate content ranging from viral social media to branded content marketing."
